id,source_id,intervention_by_complexity,intervention_by_richness,Number_Total,lat_map,lon_map,n_id_complexity,n_id_richness
578,5045,Very simple,2,2,-16.731249,-64.452096,1,1
579,5129,Very simple,2,2,-24.559722,28.087389,10,10
580,5145,Very simple,2,2,12.966667,77.583333,14,14
581,5154,Very simple,2,2,6.150000,-0.916667,4,4
583,5247,Very simple,2,2,43.533333,-80.200000,2,2
584,5258,Simple,2,2,6.666667,-1.950000,2,2
585,5321,Simple,2,2,9.938611,-83.729444,5,5
587,5436,Simple,2,2,-16.731249,-64.452096,1,1
588,5448,Very simple,2,2,-22.702772,-47.629294,2,2
590,5512,Very simple,2,2,40.733333,116.583333,12,12
591,5518,Very simple,2,2,7.331025,-1.993669,2,2
592,5525,Very simple,2,2,-11.524630,-54.355207,4,4
593,5605,Very simple,2,2,23.586301,81.173004,3,3
594,5661,Simple,2,2,-1.389731,119.940286,2,2
596,5731,Very simple,2,2,-21.516667,-45.416667,4,4
597,5775,Very simple,2,2,38.073255,104.691139,2,2
598,5793,Very simple,2,2,36.016667,110.716667,6,6
599,5801,Very simple,2,2,-18.506667,-40.295833,5,5
601,5894,Simple,2,2,22.483333,90.166667,4,4
602,5909,Very simple,2,2,21.850000,-89.683333,2,2
603,5913,Very simple,2,2,36.016667,110.766667,4,4
604,5918,Very simple,2,2,-2.816500,114.179806,3,3
605,5937,Very simple,2,2,36.106556,110.594139,9,9
606,5945,Very simple,2,2,-8.238333,-35.922222,16,16
607,5950,Very simple,2,2,43.541111,-80.208889,6,6
608,5985,Simple,2,2,4.187754,-72.644507,1,2
609,5985,Very simple,2,2,4.187754,-72.644507,1,2
610,6013,Very simple,2,2,5.058617,-2.496367,6,6
611,6013,Very simple,2,2,5.170567,-2.496367,6,6
612,6023,Very simple,2,2,9.895556,-83.668611,4,4
618,6094,Very simple,2,2,-15.460167,-67.472403,3,3
620,6162,Very simple,2,2,29.641667,106.183333,4,4
621,6216,Very simple,2,2,-15.450000,-67.466667,2,2
626,6335,Very simple,2,2,30.000000,76.183333,3,3
628,6425,Very simple,2,2,30.900000,75.750000,6,6
629,6483,Very simple,2,2,34.923611,113.626667,1,1
630,6489,Very simple,2,2,-21.222222,-44.971389,8,8
631,6493,Very simple,2,2,-22.350000,-48.366667,1,1
632,6520,Very simple,2,2,-20.754167,-41.284722,4,4
634,6584,Simple,2,2,4.500000,11.166667,5,5
637,6611,Very simple,2,2,41.266667,80.233333,6,6
639,6641,Very simple,2,2,43.700000,3.850000,15,15
640,6644,Simple,2,2,-15.460167,-67.472403,1,1
644,6657,Very simple,2,2,43.915278,4.880278,2,2
646,6663,Simple,2,2,-4.233333,121.937500,2,2
647,6673,Very simple,2,2,4.187754,-72.644507,2,2
649,6770,Very simple,2,2,6.168889,-2.468056,1,1
650,6770,Very simple,2,2,6.601667,-0.967500,1,1
651,6770,Very simple,2,2,7.117222,-2.351111,1,1
652,6770,Very simple,2,2,7.069167,-1.385278,1,1
656,6847,Very simple,2,2,6.600000,-0.966667,2,2
659,6916,Very simple,2,2,0.155920,113.965382,2,2
660,6966,Very simple,2,2,21.927500,101.265278,3,3
661,7047,Very simple,2,2,32.730000,74.870000,4,4
662,7076,Very simple,2,2,7.715025,79.966414,2,2
663,7076,Very simple,2,2,7.264650,80.032842,2,2
665,7082,Very simple,2,2,28.687598,-8.817213,10,10
666,7096,Very simple,2,2,42.541867,11.444733,3,3
667,7104,Very simple,2,2,40.216667,116.550000,4,4
668,7111,Very simple,2,2,-22.291389,-49.552778,8,8
669,7113,Very simple,2,2,30.900000,75.750000,6,6
670,7123,Very simple,2,2,33.896739,-4.673786,12,12
672,6487,Simple,2,2,22.611000,100.669000,3,3
673,6460,Very simple,2,2,-15.458333,-67.471667,1,1
677,5608,Very simple,2,2,25.450000,78.583333,3,3
678,6931,Very simple,2,2,32.933333,120.400000,6,6
679,6601,Very simple,2,2,43.915278,4.880278,1,1
680,5305,Very simple,2,2,8.439537,-80.144288,9,9
681,5827,Very simple,2,2,37.250000,118.300000,2,2
682,6815,Very simple,2,2,32.600000,51.341667,6,6
683,1324,Very simple,2,2,9.000000,-83.000000,4,4
686,6862,Very simple,2,2,21.927500,101.265278,3,3
690,5026,Very simple,2,2,42.716667,122.366667,6,6
692,965,Very simple,2,2,32.900000,119.675000,48,48
693,6600,Very simple,2,2,9.863467,-84.146736,1,1
694,5233,Very simple,2,2,25.511336,-80.501106,2,2
695,5171,Very simple,2,2,21.927500,101.265278,2,2
696,3788,Very simple,2,2,38.073255,104.691139,6,6
699,6090,Simple,2,2,1.870000,34.321944,1,2
700,6090,Very simple,2,2,1.870000,34.321944,1,2
705,7468,Very simple,2,2,2.000000,11.500000,8,8
708,7510,Very simple,2,2,9.610294,8.147715,24,24
710,7678,Very simple,2,2,23.586301,81.173004,12,12
711,7695,Very simple,2,2,-2.014687,29.919440,6,6
712,7698,Very simple,2,2,6.833333,4.550000,36,36
713,7698,Very simple,2,2,6.066667,5.866667,36,36
714,7698,Very simple,2,2,4.033333,6.783333,36,36
715,7698,Very simple,2,2,5.500000,7.533333,36,36
716,7698,Very simple,2,2,5.000000,8.500000,36,36
717,7698,Very simple,2,2,6.250000,8.250000,36,36
719,7729,Very simple,2,2,-6.833333,37.666667,6,6
720,7736,Very simple,2,2,-6.833333,37.666667,2,2
721,7740,Very simple,2,2,53.978447,-2.852944,6,6
724,7912,Very simple,2,2,26.750000,72.050000,3,3
725,7930,Very simple,2,2,7.945305,-1.219233,108,108
726,7937,Very simple,2,2,-6.355794,34.818322,6,6
727,7944,Very simple,2,2,8.483333,76.950000,8,8
729,7945,Very simple,2,2,-6.500000,37.633333,4,4
730,7947,Very simple,2,2,-6.833333,37.633333,4,4
731,7951,Very simple,2,2,9.610294,8.147715,4,4
732,7961,Very simple,2,2,9.610294,8.147715,6,6
733,7989,Very simple,2,2,53.978447,-2.852944,4,4
734,8022,Very simple,2,2,9.883333,-84.146736,4,4
735,8041,Very simple,2,2,23.673729,90.432126,34,34
736,8085,Very simple,2,2,7.500000,80.500000,8,8
737,8148,Very simple,2,2,-1.750000,-47.116667,1,1
740,8221,Very simple,2,2,-35.697271,-64.532385,4,4
741,8271,Very simple,2,2,29.166667,75.766667,1,1
742,8288,Very simple,2,2,42.820437,25.251739,1,1
743,8368,Very simple,2,2,13.266667,30.483333,12,12
744,8547,Simple,2,2,-14.250000,32.000000,2,2
745,8561,Simple,2,2,0.100000,34.566667,2,2
746,8602,Very simple,2,2,23.673729,90.432126,12,12
747,8632,Very simple,2,2,2.583333,103.000000,2,2
748,8672,Very simple,2,2,9.895556,-83.668611,20,20
750,8679,Very simple,2,2,35.566667,75.025000,5,5
751,8731,Very simple,2,2,1.282173,32.343718,4,4
756,8947,Very simple,2,2,16.517347,105.913388,1,1
759,8957,Very simple,2,2,-13.158167,-60.630722,3,3
762,8969,Very simple,2,2,22.500000,87.000000,2,2
763,9119,Very simple,2,2,26.310278,75.430556,1,1
764,9158,Very simple,2,2,23.586301,81.173004,4,4
765,9159,Very simple,2,2,0.155920,113.965382,4,4
766,9201,Very simple,2,2,31.513542,35.027923,4,4
767,9205,Very simple,2,2,31.966667,77.101111,3,3
772,9444,Very simple,2,2,22.833333,87.000000,2,2
773,9463,Very simple,2,2,-11.524630,-54.355207,1,1
774,9514,Very simple,2,2,-15.460167,-67.472403,3,3
778,9552,Very simple,2,2,23.586301,81.173004,10,10
779,9666,Very simple,2,2,10.533333,70.166667,6,6
782,9849,Very simple,2,2,10.033333,-84.133333,4,4
784,9909,Very simple,2,2,10.033333,-84.133333,4,4
786,8913,Very simple,2,2,7.200000,3.333333,2,2
787,9736,Very simple,2,2,59.039434,98.670499,3,3
789,4857,Very simple,2,2,18.181204,66.775930,1,1
791,2682,Very simple,2,2,37.833333,-93.833333,2,2
792,2802,Simple,2,2,72.029420,73.117900,7,7
793,2802,Simple,2,2,72.023310,73.085200,7,7
794,2802,Simple,2,2,72.061760,72.703200,7,7
797,3265,Simple,2,2,19.533333,-155.083333,1,1
798,5260,Simple,2,2,18.866094,99.351944,1,1
799,5260,Very simple,2,2,19.259181,98.921517,1,1
800,6041,Very simple,2,2,46.766667,130.450000,2,2
801,3310,Very simple,2,2,-23.083333,-52.433333,4,4
802,3412,Very simple,2,2,-23.083333,-52.433333,4,4
805,4292,Very simple,2,2,27.432947,-80.429000,7,7
806,5658,Very simple,2,2,-16.603056,-49.279722,3,3
808,9188,Very simple,2,2,-20.753889,-42.881389,16,16
810,4809,Simple,2,2,26.744167,115.059167,2,2
813,5584,Simple,2,2,8.729390,39.914903,24,24
814,771,Very simple,2,2,23.586301,81.173004,9,9
815,1084,Very simple,2,2,-26.500000,-54.500000,3,3
818,7000,Simple,2,2,-2.223783,28.827900,12,12
819,7124,Very simple,2,2,-11.524630,-54.355207,1,1
820,6103,Very simple,2,2,6.294168,12.948474,5,5
821,6103,Very simple,2,2,-16.731249,-64.452096,3,3
822,6103,Very simple,2,2,0.155920,113.965382,3,3
823,6103,Very simple,2,2,15.820879,-90.312193,2,2
824,6103,Very simple,2,2,12.893567,-85.016088,1,1
825,6103,Very simple,2,2,14.740371,-86.492517,1,1
826,6103,Very simple,2,2,9.863467,-84.146736,1,1
827,6103,Very simple,2,2,8.439537,-80.144288,1,1
828,6103,Very simple,2,2,6.600000,-0.966667,2,2
829,6559,Very simple,2,2,9.895556,-83.668611,2,2
831,1350,Very simple,2,2,-33.640000,122.880000,35,35
833,5655,Very simple,2,2,46.766667,130.450000,2,2
834,5869,Very simple,2,2,31.683333,103.883333,4,4
837,7589,Very simple,2,2,9.610294,8.147715,8,8
839,3588,Very simple,2,2,11.350000,76.333333,8,8
841,828,Very simple,2,2,38.820809,-96.331617,55,55
842,2521,Very simple,2,2,31.200000,110.700000,2,2
843,6831,Very simple,2,2,19.548611,109.308333,10,10
844,6723,Very simple,2,2,62.734210,17.062432,1,1
846,674,Very simple,2,2,30.344444,77.870000,1,1
847,674,Very simple,2,2,23.586301,81.173004,2,2
848,1583,Simple,2,2,-13.650000,32.566667,6,6
849,2836,Simple,2,2,0.100000,34.566667,8,8
850,3125,Very simple,2,2,30.850000,76.183333,27,27
851,5194,Very simple,2,2,43.707222,3.859444,6,6
852,6743,Simple,2,2,38.820809,-96.331617,1,1
859,7061,Very simple,2,2,13.250000,2.300000,4,4
